,word,color,response,reaction_time,is_correct,time
0,RED,red,red,2124.0,True,"Apr 02, 2025 08:44 AM"
1,RED,yellow,yellow,2326.0,True,"Apr 02, 2025 08:44 AM"
2,BLUE,green,green,7127.0,True,"Apr 02, 2025 08:44 AM"
3,RED,yellow,yellow,2004.0,True,"Apr 02, 2025 08:44 AM"
4,RED,yellow,yellow,2924.0,True,"Apr 02, 2025 08:44 AM"
5,BLUE,yellow,yellow,3142.0,True,"Apr 02, 2025 08:44 AM"
6,GREEN,red,red,1804.0,True,"Apr 02, 2025 08:44 AM"
7,BLUE,red,blue,1968.0,False,"Apr 02, 2025 08:44 AM"
8,BLUE,yellow,yellow,1944.0,True,"Apr 02, 2025 08:44 AM"
9,RED,yellow,yellow,5470.0,True,"Apr 02, 2025 08:44 AM"
10,RED,green,green,1912.0,True,"Apr 02, 2025 08:44 AM"
11,GREEN,yellow,yellow,2286.0,True,"Apr 02, 2025 08:45 AM"
12,RED,green,green,2461.0,True,"Apr 02, 2025 08:45 AM"
13,GREEN,red,red,1720.0,True,"Apr 02, 2025 08:45 AM"
14,BLUE,green,green,2876.0,True,"Apr 02, 2025 08:45 AM"
15,BLUE,yellow,yellow,2343.0,True,"Apr 02, 2025 08:45 AM"
16,BLUE,yellow,yellow,2067.0,True,"Apr 02, 2025 08:45 AM"
17,YELLOW,red,red,1638.0,True,"Apr 02, 2025 08:45 AM"
18,RED,yellow,yellow,2944.0,True,"Apr 02, 2025 08:45 AM"
19,YELLOW,red,red,1952.0,True,"Apr 02, 2025 08:45 AM"
20,BLUE,blue,blue,1372.0,True,"Apr 02, 2025 08:46 AM"
21,YELLOW,yellow,yellow,1811.0,True,"Apr 02, 2025 08:46 AM"
22,BLUE,blue,blue,1419.0,True,"Apr 02, 2025 08:46 AM"
23,GREEN,blue,blue,1530.0,True,"Apr 02, 2025 08:46 AM"
24,BLUE,green,green,1400.0,True,"Apr 02, 2025 08:46 AM"
25,YELLOW,red,red,1484.0,True,"Apr 02, 2025 08:46 AM"
26,RED,green,green,3346.0,True,"Apr 02, 2025 08:46 AM"
27,GREEN,blue,blue,1239.0,True,"Apr 02, 2025 08:46 AM"
28,YELLOW,yellow,yellow,1332.0,True,"Apr 02, 2025 08:46 AM"
29,YELLOW,yellow,yellow,1221.0,True,"Apr 02, 2025 08:46 AM"
30,RED,green,green,1919.0,True,"Apr 02, 2025 08:46 AM"
31,GREEN,yellow,yellow,1366.0,True,"Apr 02, 2025 08:46 AM"
32,GREEN,green,green,1468.0,True,"Apr 02, 2025 08:46 AM"
33,BLUE,blue,blue,1422.0,True,"Apr 02, 2025 08:46 AM"
34,RED,blue,blue,1431.0,True,"Apr 02, 2025 08:46 AM"
35,GREEN,blue,blue,1114.0,True,"Apr 02, 2025 08:46 AM"
36,GREEN,green,green,1233.0,True,"Apr 02, 2025 08:46 AM"
37,BLUE,green,blue,1201.0,False,"Apr 02, 2025 08:46 AM"
38,YELLOW,blue,yellow,1230.0,False,"Apr 02, 2025 08:46 AM"
39,BLUE,green,green,3098.0,True,"Apr 02, 2025 08:47 AM"
40,YELLOW,yellow,yellow,3391.0,True,"Apr 02, 2025 08:47 AM"
41,YELLOW,red,red,4605.0,True,"Apr 02, 2025 08:47 AM"
42,RED,yellow,yellow,1725.0,True,"Apr 02, 2025 08:47 AM"
43,GREEN,green,green,1521.0,True,"Apr 02, 2025 08:47 AM"
44,GREEN,green,green,3226.0,True,"Apr 02, 2025 08:47 AM"
45,BLUE,red,red,2218.0,True,"Apr 02, 2025 08:47 AM"
46,BLUE,blue,blue,1994.0,True,"Apr 02, 2025 08:47 AM"
47,GREEN,red,red,2835.0,True,"Apr 02, 2025 08:47 AM"
48,RED,red,red,1519.0,True,"Apr 02, 2025 08:47 AM"
49,BLUE,yellow,yellow,1484.0,True,"Apr 02, 2025 08:47 AM"
50,YELLOW,red,red,1610.0,True,"Apr 02, 2025 08:47 AM"
51,YELLOW,green,green,1467.0,True,"Apr 02, 2025 08:47 AM"
52,RED,blue,blue,1423.0,True,"Apr 02, 2025 08:47 AM"
53,YELLOW,green,green,1897.0,True,"Apr 02, 2025 08:47 AM"
54,RED,yellow,yellow,1377.0,True,"Apr 02, 2025 08:47 AM"
55,GREEN,red,red,1424.0,True,"Apr 02, 2025 08:47 AM"
56,YELLOW,red,red,1117.0,True,"Apr 02, 2025 08:47 AM"
57,BLUE,blue,blue,1577.0,True,"Apr 02, 2025 08:47 AM"
58,GREEN,yellow,yellow,1504.0,True,"Apr 02, 2025 08:47 AM"
59,BLUE,yellow,yellow,1409.0,True,"Apr 02, 2025 08:47 AM"
60,RED,yellow,yellow,1968.0,True,"Apr 02, 2025 08:48 AM"
61,RED,green,green,1300.0,True,"Apr 02, 2025 08:48 AM"
62,RED,yellow,yellow,1063.0,True,"Apr 02, 2025 08:48 AM"
63,BLUE,red,red,1572.0,True,"Apr 02, 2025 08:48 AM"
64,RED,green,green,1376.0,True,"Apr 02, 2025 08:48 AM"
65,RED,red,red,1245.0,True,"Apr 02, 2025 08:48 AM"
66,GREEN,red,red,1800.0,True,"Apr 02, 2025 08:48 AM"
67,GREEN,green,green,1194.0,True,"Apr 02, 2025 08:48 AM"
68,YELLOW,green,green,1209.0,True,"Apr 02, 2025 08:48 AM"
69,BLUE,red,red,2424.0,True,"Apr 02, 2025 08:48 AM"
70,YELLOW,green,green,2639.0,True,"Apr 02, 2025 08:48 AM"
71,RED,green,green,1647.0,True,"Apr 02, 2025 08:48 AM"
72,GREEN,yellow,yellow,2585.0,True,"Apr 02, 2025 08:48 AM"
73,GREEN,red,red,1141.0,True,"Apr 02, 2025 08:48 AM"
74,YELLOW,blue,blue,1161.0,True,"Apr 02, 2025 08:48 AM"
75,RED,yellow,yellow,1383.0,True,"Apr 02, 2025 08:48 AM"
76,GREEN,blue,blue,1785.0,True,"Apr 02, 2025 08:48 AM"
77,YELLOW,blue,blue,974.0,True,"Apr 02, 2025 08:48 AM"
78,RED,yellow,yellow,1305.0,True,"Apr 02, 2025 08:48 AM"
79,YELLOW,red,red,1009.0,True,"Apr 02, 2025 08:48 AM"
80,GREEN,blue,blue,3257.0,True,"Apr 02, 2025 08:49 AM"
81,BLUE,yellow,yellow,1915.0,True,"Apr 02, 2025 08:49 AM"
82,GREEN,blue,blue,1915.0,True,"Apr 02, 2025 08:49 AM"
83,BLUE,blue,blue,1999.0,True,"Apr 02, 2025 08:49 AM"
84,RED,yellow,yellow,3202.0,True,"Apr 02, 2025 08:49 AM"
85,YELLOW,green,green,1916.0,True,"Apr 02, 2025 08:49 AM"
86,YELLOW,green,green,3199.0,True,"Apr 02, 2025 08:49 AM"
87,YELLOW,yellow,yellow,5216.0,True,"Apr 02, 2025 08:49 AM"
88,BLUE,red,red,1816.0,True,"Apr 02, 2025 08:49 AM"
89,GREEN,red,red,3317.0,True,"Apr 02, 2025 08:49 AM"
90,RED,yellow,yellow,1649.0,True,"Apr 02, 2025 08:49 AM"
91,GREEN,yellow,yellow,1850.0,True,"Apr 02, 2025 08:49 AM"
92,GREEN,blue,blue,2334.0,True,"Apr 02, 2025 08:49 AM"
93,GREEN,red,red,1332.0,True,"Apr 02, 2025 08:49 AM"
94,YELLOW,blue,blue,1883.0,True,"Apr 02, 2025 08:49 AM"
95,RED,blue,blue,1265.0,True,"Apr 02, 2025 08:49 AM"
96,RED,red,red,1850.0,True,"Apr 02, 2025 08:49 AM"
97,GREEN,green,green,2250.0,True,"Apr 02, 2025 08:49 AM"
98,BLUE,red,blue,1946.0,False,"Apr 02, 2025 08:49 AM"
99,YELLOW,blue,blue,1766.0,True,"Apr 02, 2025 08:49 AM"
100,YELLOW,green,green,2087.0,True,"Apr 02, 2025 08:49 AM"
101,BLUE,green,green,1982.0,True,"Apr 02, 2025 08:49 AM"
102,YELLOW,blue,blue,1616.0,True,"Apr 02, 2025 08:49 AM"
103,GREEN,blue,blue,2250.0,True,"Apr 02, 2025 08:49 AM"
104,GREEN,yellow,yellow,1750.0,True,"Apr 02, 2025 08:49 AM"
105,GREEN,yellow,yellow,1733.0,True,"Apr 02, 2025 08:49 AM"
106,RED,red,red,1716.0,True,"Apr 02, 2025 08:49 AM"
107,GREEN,green,green,2500.0,True,"Apr 02, 2025 08:50 AM"
108,GREEN,blue,blue,1908.0,True,"Apr 02, 2025 08:50 AM"
109,RED,blue,blue,3273.0,True,"Apr 02, 2025 08:50 AM"
110,GREEN,red,red,1982.0,True,"Apr 02, 2025 08:50 AM"
111,YELLOW,yellow,yellow,2169.0,True,"Apr 02, 2025 08:50 AM"
112,RED,green,green,1733.0,True,"Apr 02, 2025 08:50 AM"
113,RED,blue,blue,1299.0,True,"Apr 02, 2025 08:50 AM"
114,RED,red,red,1925.0,True,"Apr 02, 2025 08:50 AM"
115,YELLOW,blue,blue,3656.0,True,"Apr 02, 2025 08:50 AM"
116,GREEN,blue,blue,1813.0,True,"Apr 02, 2025 08:50 AM"
117,RED,blue,blue,2308.0,True,"Apr 02, 2025 08:50 AM"
118,BLUE,green,green,1853.0,True,"Apr 02, 2025 08:50 AM"
119,GREEN,red,red,2012.0,True,"Apr 02, 2025 08:50 AM"
120,BLUE,blue,blue,3736.0,True,"Apr 02, 2025 08:51 AM"
121,BLUE,green,green,7120.0,True,"Apr 02, 2025 08:51 AM"
122,YELLOW,yellow,yellow,2594.0,True,"Apr 02, 2025 08:51 AM"
123,GREEN,green,green,1882.0,True,"Apr 02, 2025 08:51 AM"
124,RED,red,red,1581.0,True,"Apr 02, 2025 08:51 AM"
125,YELLOW,blue,blue,2594.0,True,"Apr 02, 2025 08:51 AM"
126,GREEN,blue,blue,1430.0,True,"Apr 02, 2025 08:51 AM"
127,RED,yellow,yellow,1480.0,True,"Apr 02, 2025 08:52 AM"
128,RED,red,red,1500.0,True,"Apr 02, 2025 08:52 AM"
129,RED,yellow,yellow,1375.0,True,"Apr 02, 2025 08:52 AM"
130,YELLOW,blue,blue,1347.0,True,"Apr 02, 2025 08:52 AM"
131,YELLOW,red,red,1645.0,True,"Apr 02, 2025 08:52 AM"
132,GREEN,red,red,1695.0,True,"Apr 02, 2025 08:52 AM"
133,RED,green,green,1412.0,True,"Apr 02, 2025 08:52 AM"
134,BLUE,green,green,1335.0,True,"Apr 02, 2025 08:52 AM"
135,BLUE,red,red,1150.0,True,"Apr 02, 2025 08:52 AM"
136,BLUE,yellow,yellow,1199.0,True,"Apr 02, 2025 08:52 AM"
137,RED,yellow,yellow,1460.0,True,"Apr 02, 2025 08:52 AM"
138,RED,yellow,yellow,1312.0,True,"Apr 02, 2025 08:52 AM"
139,RED,yellow,yellow,1247.0,True,"Apr 02, 2025 08:52 AM"
140,YELLOW,red,yellow,1899.0,False,"Apr 02, 2025 08:52 AM"
141,RED,green,green,12051.0,True,"Apr 02, 2025 08:52 AM"
142,BLUE,blue,blue,5383.0,True,"Apr 02, 2025 08:52 AM"
143,YELLOW,blue,yellow,106.0,False,"Apr 02, 2025 08:52 AM"
144,GREEN,green,green,3306.0,True,"Apr 02, 2025 08:52 AM"
145,GREEN,green,green,2413.0,True,"Apr 02, 2025 08:52 AM"
146,YELLOW,green,green,2604.0,True,"Apr 02, 2025 08:52 AM"
147,GREEN,red,red,2705.0,True,"Apr 02, 2025 08:52 AM"
148,YELLOW,red,red,2644.0,True,"Apr 02, 2025 08:52 AM"
149,BLUE,green,blue,1897.0,False,"Apr 02, 2025 08:52 AM"
150,BLUE,yellow,blue,1081.0,False,"Apr 02, 2025 08:52 AM"
151,RED,yellow,yellow,2728.0,True,"Apr 02, 2025 08:52 AM"
152,GREEN,yellow,green,1529.0,False,"Apr 02, 2025 08:52 AM"
153,RED,yellow,yellow,1179.0,True,"Apr 02, 2025 08:52 AM"
154,GREEN,yellow,yellow,1824.0,True,"Apr 02, 2025 08:52 AM"
155,YELLOW,red,red,2013.0,True,"Apr 02, 2025 08:53 AM"
156,BLUE,yellow,yellow,4405.0,True,"Apr 02, 2025 08:53 AM"
157,RED,yellow,yellow,1990.0,True,"Apr 02, 2025 08:53 AM"
158,GREEN,blue,blue,1867.0,True,"Apr 02, 2025 08:53 AM"
159,BLUE,green,green,2403.0,True,"Apr 02, 2025 08:53 AM"
160,GREEN,red,red,1775.0,True,"Apr 02, 2025 08:53 AM"
161,GREEN,yellow,yellow,2460.0,True,"Apr 02, 2025 08:53 AM"
162,BLUE,blue,red,3622.0,False,"Apr 02, 2025 08:53 AM"
163,GREEN,red,red,1995.0,True,"Apr 02, 2025 08:53 AM"
